,modality,emotion,statement,gender
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-04-02-02-02-18.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-01-01-01-18.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-01-01-02-18.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-01-02-01-18.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-01-02-02-18.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-02-01-01-18.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-02-01-02-18.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-02-02-01-18.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-05-02-02-02-18.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-01-01-01-18.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-01-01-02-18.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-01-02-01-18.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-01-02-02-18.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-02-01-01-18.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-02-01-02-18.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-02-02-01-18.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-06-02-02-02-18.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-01-01-01-18.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-01-01-02-18.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-01-02-01-18.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-01-02-02-18.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-02-01-01-18.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-02-01-02-18.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-02-02-01-18.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-07-02-02-02-18.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-01-01-01-18.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-01-01-02-18.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-01-02-01-18.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-01-02-02-18.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-02-01-01-18.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-02-01-02-18.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-02-02-01-18.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_18\03-01-08-02-02-02-18.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-01-01-01-01-20.wav,audio-only,neutral,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-01-01-01-02-20.wav,audio-only,neutral,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-01-01-02-01-20.wav,audio-only,neutral,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-01-01-02-02-20.wav,audio-only,neutral,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-01-01-01-20.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-01-01-02-20.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-01-02-01-20.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-01-02-02-20.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-02-01-01-20.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-02-01-02-20.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-02-02-01-20.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-02-02-02-02-20.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-01-01-01-20.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-01-01-02-20.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-01-02-01-20.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-01-02-02-20.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-02-01-01-20.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-02-01-02-20.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-02-02-01-20.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-03-02-02-02-20.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-01-01-01-20.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-01-01-02-20.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-01-02-01-20.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-01-02-02-20.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-02-01-01-20.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-02-01-02-20.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-02-02-01-20.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-04-02-02-02-20.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-01-01-01-20.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-01-01-02-20.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-01-02-01-20.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-01-02-02-20.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-02-01-01-20.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-02-01-02-20.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-02-02-01-20.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-05-02-02-02-20.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-01-01-01-20.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-01-01-02-20.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-01-02-01-20.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-01-02-02-20.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-02-01-01-20.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-02-01-02-20.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-02-02-01-20.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-06-02-02-02-20.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-01-01-01-20.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-01-01-02-20.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-01-02-01-20.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-01-02-02-20.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-02-01-01-20.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-02-01-02-20.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-02-02-01-20.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-07-02-02-02-20.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-01-01-01-20.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-01-01-02-20.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-01-02-01-20.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-01-02-02-20.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-02-01-01-20.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-02-01-02-20.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-02-02-01-20.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_20\03-01-08-02-02-02-20.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-01-01-01-01-22.wav,audio-only,neutral,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-01-01-01-02-22.wav,audio-only,neutral,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-01-01-02-01-22.wav,audio-only,neutral,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-01-01-02-02-22.wav,audio-only,neutral,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-01-01-01-22.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-01-01-02-22.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-01-02-01-22.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-01-02-02-22.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-02-01-01-22.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-02-01-02-22.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-02-02-01-22.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-02-02-02-02-22.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-01-01-01-22.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-01-01-02-22.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-01-02-01-22.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-01-02-02-22.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-02-01-01-22.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-02-01-02-22.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-02-02-01-22.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-03-02-02-02-22.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-01-01-01-22.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-01-01-02-22.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-01-02-01-22.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-01-02-02-22.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-02-01-01-22.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-02-01-02-22.wav,audio-only,sad,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-02-02-01-22.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-04-02-02-02-22.wav,audio-only,sad,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-01-01-01-22.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-01-01-02-22.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-01-02-01-22.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-01-02-02-22.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-02-01-01-22.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-02-01-02-22.wav,audio-only,angry,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-02-02-01-22.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-05-02-02-02-22.wav,audio-only,angry,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-01-01-01-22.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-01-01-02-22.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-01-02-01-22.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-01-02-02-22.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-02-01-01-22.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-02-01-02-22.wav,audio-only,fearful,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-02-02-01-22.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-06-02-02-02-22.wav,audio-only,fearful,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-01-01-01-22.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-01-01-02-22.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-01-02-01-22.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-01-02-02-22.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-02-01-01-22.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-02-01-02-22.wav,audio-only,disgust,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-02-02-01-22.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-07-02-02-02-22.wav,audio-only,disgust,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-01-01-01-22.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-01-01-02-22.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-01-02-01-22.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-01-02-02-22.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-02-01-01-22.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-02-01-02-22.wav,audio-only,surprised,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-02-02-01-22.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_22\03-01-08-02-02-02-22.wav,audio-only,surprised,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-01-01-01-01-24.wav,audio-only,neutral,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-01-01-01-02-24.wav,audio-only,neutral,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-01-01-02-01-24.wav,audio-only,neutral,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-01-01-02-02-24.wav,audio-only,neutral,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-01-01-01-24.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-01-01-02-24.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-01-02-01-24.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-01-02-02-24.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-02-01-01-24.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-02-01-02-24.wav,audio-only,calm,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-02-02-01-24.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-02-02-02-02-24.wav,audio-only,calm,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-03-01-01-01-24.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-03-01-01-02-24.wav,audio-only,happy,Kids are talking by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-03-01-02-01-24.wav,audio-only,happy,Dogs are sitting by the door,female
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_24\03-01-03-01-02-02-24.wav,audio-only,happy,Dogs are sitting by the door,female
